Wikidata ID,Context
[Q1082992](https://www.wikidata.org/wiki/Q1082992),[equivalent](https://mathgloss.github.io/MathGloss/equivalent)
[Q752487](https://www.wikidata.org/wiki/Q752487),[dual vector space](https://mathgloss.github.io/MathGloss/dual_vector_space)
[Q5051825](https://www.wikidata.org/wiki/Q5051825),[decategorification](https://mathgloss.github.io/MathGloss/decategorification)
[Q1780005](https://www.wikidata.org/wiki/Q1780005),[comma category](https://mathgloss.github.io/MathGloss/comma_category)
[Q2547089](https://www.wikidata.org/wiki/Q2547089),[subobject](https://mathgloss.github.io/MathGloss/subobject)
[Q2243424](https://www.wikidata.org/wiki/Q2243424),[idempotent](https://mathgloss.github.io/MathGloss/idempotent)
[Q541563](https://www.wikidata.org/wiki/Q541563),[full embedding](https://mathgloss.github.io/MathGloss/full_embedding)
[Q1228851](https://www.wikidata.org/wiki/Q1228851),[discrete](https://mathgloss.github.io/MathGloss/discrete)
[Q1193137](https://www.wikidata.org/wiki/Q1193137),[regular cardinal](https://mathgloss.github.io/MathGloss/regular_cardinal)
[Q1780005](https://www.wikidata.org/wiki/Q1780005),[slice categories](https://mathgloss.github.io/MathGloss/slice_categories)
[Q1347208](https://www.wikidata.org/wiki/Q1347208),[epimorphism](https://mathgloss.github.io/MathGloss/epimorphism)
[Q189112](https://www.wikidata.org/wiki/Q189112),[isomorphic](https://mathgloss.github.io/MathGloss/isomorphic)
[Q541563](https://www.wikidata.org/wiki/Q541563),[subcategory](https://mathgloss.github.io/MathGloss/subcategory)
[Q2291918](https://www.wikidata.org/wiki/Q2291918),[skeletal](https://mathgloss.github.io/MathGloss/skeletal)
[Q130998](https://www.wikidata.org/wiki/Q130998),[equivalence relation](https://mathgloss.github.io/MathGloss/equivalence_relation)
[Q5282259](https://www.wikidata.org/wiki/Q5282259),[direct sums](https://mathgloss.github.io/MathGloss/direct_sums)
[Q318737](https://www.wikidata.org/wiki/Q318737),[zero object](https://mathgloss.github.io/MathGloss/zero_object)
[Q1454165](https://www.wikidata.org/wiki/Q1454165),[free product](https://mathgloss.github.io/MathGloss/free_product)
[Q1442189](https://www.wikidata.org/wiki/Q1442189),[extranatural transformation](https://mathgloss.github.io/MathGloss/extranatural_transformation)
[Q288465](https://www.wikidata.org/wiki/Q288465),[action](https://mathgloss.github.io/MathGloss/action)
[Q386320](https://www.wikidata.org/wiki/Q386320),[representable](https://mathgloss.github.io/MathGloss/representable)
[Q288465](https://www.wikidata.org/wiki/Q288465),[orbits](https://mathgloss.github.io/MathGloss/orbits)
[Q3489713](https://www.wikidata.org/wiki/Q3489713),[adic solenoid](https://mathgloss.github.io/MathGloss/adic_solenoid)
[Q7098616](https://www.wikidata.org/wiki/Q7098616),[opposite category](https://mathgloss.github.io/MathGloss/opposite_category)
[Q17103180](https://www.wikidata.org/wiki/Q17103180),[section](https://mathgloss.github.io/MathGloss/section)
[Q636889](https://www.wikidata.org/wiki/Q636889),[total derivative](https://mathgloss.github.io/MathGloss/total_derivative)
[Q5072826](https://www.wikidata.org/wiki/Q5072826),[chaotic](https://mathgloss.github.io/MathGloss/chaotic)
[Q311627](https://www.wikidata.org/wiki/Q311627),[adic integers](https://mathgloss.github.io/MathGloss/adic_integers)
[Q5051825](https://www.wikidata.org/wiki/Q5051825),[categorification](https://mathgloss.github.io/MathGloss/categorification)
[Q177239](https://www.wikidata.org/wiki/Q177239),[limit](https://mathgloss.github.io/MathGloss/limit)
[Q1454111](https://www.wikidata.org/wiki/Q1454111),[free abelian group](https://mathgloss.github.io/MathGloss/free_abelian_group)
[Q1773982](https://www.wikidata.org/wiki/Q1773982),[Kleisli category](https://mathgloss.github.io/MathGloss/Kleisli_category)
[Q261527](https://www.wikidata.org/wiki/Q261527),[linear functional](https://mathgloss.github.io/MathGloss/linear_functional)
[Q1292333](https://www.wikidata.org/wiki/Q1292333),[free vector space on the set](https://mathgloss.github.io/MathGloss/free_vector_space_on_the_set)
[Q529752](https://www.wikidata.org/wiki/Q529752),[local](https://mathgloss.github.io/MathGloss/local)
[Q1224487](https://www.wikidata.org/wiki/Q1224487),[equalizer diagram](https://mathgloss.github.io/MathGloss/equalizer_diagram)
[Q2291918](https://www.wikidata.org/wiki/Q2291918),[skeleton](https://mathgloss.github.io/MathGloss/skeleton)
[Q673444](https://www.wikidata.org/wiki/Q673444),[dense](https://mathgloss.github.io/MathGloss/dense)
[Q1326955](https://www.wikidata.org/wiki/Q1326955),[exact sequence](https://mathgloss.github.io/MathGloss/exact_sequence)
[Q7980190](https://www.wikidata.org/wiki/Q7980190),[restriction of scalars](https://mathgloss.github.io/MathGloss/restriction_of_scalars)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),[connected components](https://mathgloss.github.io/MathGloss/connected_components)
[Q862761](https://www.wikidata.org/wiki/Q862761),[interior](https://mathgloss.github.io/MathGloss/interior)
[Q386320](https://www.wikidata.org/wiki/Q386320),[universal property](https://mathgloss.github.io/MathGloss/universal_property)
[Q17099363](https://www.wikidata.org/wiki/Q17099363),[classifying space](https://mathgloss.github.io/MathGloss/classifying_space)
[Q1491747](https://www.wikidata.org/wiki/Q1491747),[Galois connection](https://mathgloss.github.io/MathGloss/Galois_connection)
[Q1195852](https://www.wikidata.org/wiki/Q1195852),[center](https://mathgloss.github.io/MathGloss/center)
[Q1633079](https://www.wikidata.org/wiki/Q1633079),[pushout](https://mathgloss.github.io/MathGloss/pushout)
[Q426221](https://www.wikidata.org/wiki/Q426221),[reflector](https://mathgloss.github.io/MathGloss/reflector)
[Q7631737](https://www.wikidata.org/wiki/Q7631737),[subobject classifier](https://mathgloss.github.io/MathGloss/subobject_classifier)
[Q595298](https://www.wikidata.org/wiki/Q595298),[presheaf](https://mathgloss.github.io/MathGloss/presheaf)
[Q1340800](https://www.wikidata.org/wiki/Q1340800),[endomorphism](https://mathgloss.github.io/MathGloss/endomorphism)
[Q42344](https://www.wikidata.org/wiki/Q42344),[cocones](https://mathgloss.github.io/MathGloss/cocones)
[Q318737](https://www.wikidata.org/wiki/Q318737),[abelian](https://mathgloss.github.io/MathGloss/abelian)
[Q864475](https://www.wikidata.org/wiki/Q864475),[functor](https://mathgloss.github.io/MathGloss/functor)
[Q3117899](https://www.wikidata.org/wiki/Q3117899),[opposite group](https://mathgloss.github.io/MathGloss/opposite_group)
[Q1064276](https://www.wikidata.org/wiki/Q1064276),[faithful](https://mathgloss.github.io/MathGloss/faithful)
[Q188524](https://www.wikidata.org/wiki/Q188524),[tensors](https://mathgloss.github.io/MathGloss/tensors)
[Q81881](https://www.wikidata.org/wiki/Q81881),[fork](https://mathgloss.github.io/MathGloss/fork)
[Q2362924](https://www.wikidata.org/wiki/Q2362924),[complete lattice](https://mathgloss.github.io/MathGloss/complete_lattice)
[Q17103180](https://www.wikidata.org/wiki/Q17103180),[retract](https://mathgloss.github.io/MathGloss/retract)
[Q1945067](https://www.wikidata.org/wiki/Q1945067),[monic](https://mathgloss.github.io/MathGloss/monic)
[Q5140810](https://www.wikidata.org/wiki/Q5140810),[absolute](https://mathgloss.github.io/MathGloss/absolute)
[Q3968](https://www.wikidata.org/wiki/Q3968),[algebra](https://mathgloss.github.io/MathGloss/algebra)
[Q140283](https://www.wikidata.org/wiki/Q140283),[essentially surjective on objects](https://mathgloss.github.io/MathGloss/essentially_surjective_on_objects)
[Q5154570](https://www.wikidata.org/wiki/Q5154570),[coskeleton](https://mathgloss.github.io/MathGloss/coskeleton)
[Q357858](https://www.wikidata.org/wiki/Q357858),[right adjoint](https://mathgloss.github.io/MathGloss/right_adjoint)
[Q746083](https://www.wikidata.org/wiki/Q746083),[homotopy equivalences](https://mathgloss.github.io/MathGloss/homotopy_equivalences)
[Q3062935](https://www.wikidata.org/wiki/Q3062935),[coalgebra](https://mathgloss.github.io/MathGloss/coalgebra)
